Name,Team,Position,Start-IP,Relief-IP,WAR,IP,ERA,FIP,xFIP,SIERA,K%,BB%,SwStr%,CSW%,Hard%
Tanner Houck,BOS,RP,16.2,43.1,0.7,60,3.15,3.3,3.68,3.61,22.7,8.9,12.9,28.6,28.2
Andrew Kittredge,TBR,RP,0,20,-0.2,20,3.15,4.61,3.79,3.51,18.7,2.7,13.3,26.6,27.1
Wade Miley,CHC,SP,35,2,0.5,37,3.16,3.95,4.42,4.48,17.6,8.8,10.6,29.2,28.7
Bryce Elder,ATL,SP,51.2,2.1,0.8,54,3.17,3.78,4.16,4.34,20.7,10.1,9.9,26.2,26
Andre Pallante,STL,SP,54.1,53.2,0.6,108,3.17,3.98,3.71,3.78,16,8.8,7.4,24.5,27.4
Luis Severino,NYY,SP,102,0,1.4,102,3.18,3.7,3.38,3.37,27.7,7.4,12.3,28.1,32.4
Justin Steele,CHC,SP,119,0,2.6,119,3.18,3.2,3.48,3.81,24.6,9.8,10.1,26,25.9
Chris Sale,BOS,SP,5.2,0,0.2,5.2,3.18,2.41,3.19,3.33,20,4,4.9,32.4,38.9
Jeremiah Estrada,CHC,RP,0,5.2,0,5.2,3.18,4.17,3.44,3.17,32,12,13.7,19.7,50
Cole Waites,SFG,RP,0,5.2,-0.1,5.2,3.18,6.11,5.65,5.6,16,16,7.7,22.1,29.4
John Brebbia,SFG,RP,11,57,0.9,68,3.18,3.32,4.5,4.08,18.8,6.3,11.2,26.1,32.6
Jose Alvarado,PHI,RP,0,51,1.7,51,3.18,1.92,2.16,2.37,37.9,11.2,16.9,32.3,26.9
Kendall Graveman,CHW,RP,0,65,0.7,65,3.18,3.42,3.44,3.39,23.2,9.1,11.2,29.3,26.3
Kyle Wright,ATL,SP,180.1,0,2.9,180.1,3.19,3.58,3.3,3.48,23.6,7.2,11.9,29.7,30.3
Keegan Akin,BAL,RP,2.1,79.1,0.5,81.2,3.2,3.59,3.34,3.2,23.4,6.1,12,29,31.7
Logan Gilbert,SEA,SP,185.2,0,3.2,185.2,3.2,3.46,3.78,3.84,22.7,6.4,10.8,25.1,35.4
Trevor Williams,NYM,RP,38.2,51,0.6,89.2,3.21,3.88,3.94,3.66,22.6,6.2,10.2,24.9,28.4
Bailey Ober,MIN,SP,56,0,1.4,56,3.21,2.92,4.18,3.99,22.5,4.8,13.3,27.3,30.7
Johan Oviedo,- - -,SP,35.2,20.1,0.7,56,3.21,3.74,4.14,4.01,22.3,9.5,11.2,27.7,29.6
Andrew Wantz,LAA,RP,1,49.1,0,50.1,3.22,4.48,4.39,3.79,25.5,10.3,13.1,28.8,31.8
Brady Singer,KCR,SP,147.2,5.2,2.9,153.1,3.23,3.58,3.3,3.4,24.2,5.6,9.3,30.3,31.5
Dean Kremer,BAL,SP,120,5.1,1.8,125.1,3.23,3.8,4.43,4.54,17,6.6,10.1,25.2,30.1
Joel Payamps,- - -,RP,0,55.2,0.2,55.2,3.23,4.24,4.07,3.86,17,6.6,9.7,24.7,26.4
Aaron Nola,PHI,SP,205,0,6.3,205,3.25,2.58,2.77,2.8,29.1,3.6,12.6,32.4,29.8
Jimmy Lambert,CHW,RP,6.2,40.1,0.3,47,3.26,3.9,4.62,4.29,22.1,11.8,11.5,26.9,25.4
Albert Abreu,- - -,RP,0,37.5,-0.1,38.2,3.26,4.77,4.31,4.16,22.1,12.8,10.2,27.7,22.9
Anthony Bender,MIA,RP,0,19.1,-0.1,19.1,3.26,4.77,3.67,3.68,21.8,10.3,10.6,32.8,23.1
Brusdar Graterol,LAD,RP,1,48.2,0.8,49.2,3.26,2.95,3.12,2.75,21.8,5.1,10.4,25.6,25.5
Connor Brogdon,PHI,RP,0,44,0.6,44,3.27,3.43,3.47,3.06,26.6,5.9,15.6,30.3,23.8
Gregory Soto,DET,RP,0,60.1,0.6,60.1,3.28,3.59,4.59,4.21,22.8,12.9,11.2,26,35.8
Miles Mikolas,STL,SP,199.1,3,2.8,202.1,3.29,3.87,3.8,3.99,19,4.8,8.2,26,28.9
Manuel Rodriguez,CHC,RP,0,13.2,-0.2,13.2,3.29,4.87,4.89,5.43,14,15.8,9.9,21.7,17.5
