name,Team,player_id,year,b_total_pa,b_game,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,avg_best_speed,launch_angle_avg,barrel_batted_rate,pull_percent,linedrives_percent
Nate Eaton,KCR,681987,2022,122,44,0.233,0.352,0.297,0.307,0.12,85.8,96.58405675,13.6,5,28.7,31.3
Bligh Madris,PIT,676632,2022,123,39,0.211,0.309,0.262,0.275,0.098,88.9,99.38113268,10.5,4.9,39,19.5
Mike Zunino,TBR,572287,2022,123,36,0.182,0.329,0.252,0.232,0.147,91.8,101.8186134,20.8,8.6,42.9,25.7
Richie Palacios,CLE,680700,2022,123,54,0.244,0.31,0.277,0.308,0.066,85,95.27551,13.5,1.1,31.2,24.7
Charlie Culberson,TEX,518586,2022,124,68,0.226,0.303,0.251,0.258,0.077,85.3,95.64760214,5.9,1.1,38.6,19.3
Jose Herrera,ARI,645444,2022,124,47,0.152,0.18,0.186,0.215,0.029,84.7,92.61374816,3,0,43.2,17.3
Alan Trejo,COL,676701,2022,125,35,0.242,0.375,0.291,0.285,0.133,86.2,96.4199907,13.6,4.6,44.8,25.3
Dermis Garcia,OAK,660650,2022,125,39,0.167,0.324,0.244,0.227,0.157,86.5,100.7734916,12.2,13.1,55.7,18
Seth Beer,ARI,666179,2022,126,38,0.215,0.315,0.276,0.302,0.101,85.9,97.17208925,10.7,3.7,35.8,29.6
David Bote,CHC,623520,2022,127,41,0.233,0.354,0.289,0.293,0.122,92.4,102.8376175,7.9,6.9,43.1,30.6
Kody Clemens,DET,665019,2022,127,56,0.193,0.325,0.249,0.242,0.132,89.4,98.28613861,17.4,5.8,54.7,17.4
Andy Ibanez,TEX,628451,2022,128,40,0.214,0.344,0.272,0.27,0.13,88.3,98.3653451,14.9,6.1,26.5,12.2
Colin Moran,CIN,592567,2022,128,42,0.233,0.383,0.318,0.328,0.15,90.4,99.49923829,10.3,8.5,47.6,20.7
Oscar Mercado,PHI,640458,2022,128,55,0.203,0.35,0.258,0.239,0.147,86.3,96.40011809,22.2,6.5,45.2,18.3
Alcides Escobar,WSN,444876,2022,131,40,0.21,0.264,0.233,0.252,0.054,81.8,92.49263022,15.7,1.1,26.1,30.4
Alex Call,WSN,669743,2022,131,47,0.209,0.29,0.279,0.311,0.081,86.3,96.20086405,18.4,1.2,48.8,22.6
Gunnar Henderson,BAL,683002,2022,132,34,0.25,0.432,0.338,0.341,0.181,92.4,103.0400356,2,9.8,40.2,23.2
Michael Perez,NYM,605421,2022,132,45,0.205,0.359,0.276,0.266,0.154,88.8,98.19278067,18.3,7.8,45.6,21.1
Sam Huff,TEX,669087,2022,132,44,0.226,0.385,0.294,0.29,0.159,88.9,99.99883625,9.7,10.1,48.1,26.6
Greg Allen,PIT,656185,2022,134,46,0.176,0.246,0.229,0.251,0.07,87.6,97.13406027,8.5,2.5,50,17.5
Austin Romine,CIN,519222,2022,136,51,0.159,0.248,0.195,0.19,0.09,87.2,98.51949366,9.5,4.7,29.4,14.1
Luke Williams,MIA,663897,2022,136,79,0.198,0.272,0.233,0.251,0.074,83.3,94.44903675,16.7,3.6,41,24.1
Stephen Piscotty,OAK,572039,2022,139,42,0.216,0.353,0.275,0.278,0.137,90.4,99.744957,10.4,6.3,37.5,31.3
Miguel Andujar,PIT,609280,2022,140,36,0.253,0.351,0.281,0.281,0.098,84.4,97.70636815,9.2,3.7,34.3,28.7
Darick Hall,PHI,669742,2022,142,41,0.232,0.462,0.312,0.264,0.23,91.4,101.6371072,18.6,17.4,40.2,23.9
Ryan O'Hearn,KCR,656811,2022,145,67,0.271,0.425,0.327,0.321,0.154,92.1,102.062682,13.4,7,43,28
Austin Meadows,DET,640457,2022,147,36,0.308,0.46,0.38,0.398,0.153,87.8,99.92875073,17.2,6.3,36,27
Mike Ford,LAA,645801,2022,149,50,0.21,0.302,0.278,0.306,0.092,88.7,99.09836065,18.1,3.3,50.5,28.6
Jason Heyward,CHC,518792,2022,151,48,0.218,0.322,0.278,0.29,0.105,87.6,99.79527264,13.1,4.8,51.4,21
Kevin Smith,OAK,675656,2022,151,47,0.189,0.322,0.239,0.225,0.133,87,98.08736939,16.4,7.8,32.4,16.7
Dominic Smith,NYM,642086,2022,152,58,0.219,0.36,0.293,0.299,0.141,89.6,99.660695,10.9,7.1,33.3,20.2
Shea Langeliers,OAK,669127,2022,153,40,0.2,0.345,0.261,0.247,0.144,87.3,99.08648674,16.9,9.9,54.9,25.3
Matt Carpenter,NYY,572761,2022,154,47,0.231,0.485,0.362,0.351,0.254,89.8,99.67298044,22.4,13.7,57.9,25.3
Riley Adams,WSN,656180,2022,155,48,0.2,0.354,0.276,0.267,0.154,90.2,101.327464,13.5,9.4,45.8,18.8
Alejo Lopez,CIN,664670,2022,156,59,0.249,0.329,0.28,0.303,0.08,83.8,94.42221,9.3,0.8,35.5,30.6
Alex Kirilloff,MIN,666135,2022,156,45,0.232,0.369,0.282,0.274,0.138,89.3,99.63492946,6.1,6.4,31.8,15.5
Lorenzo Cain,MIL,456715,2022,156,43,0.2,0.253,0.23,0.25,0.053,87.9,99.01078546,3.8,0,34.5,20
Vaughn Grissom,ATL,687093,2022,156,41,0.259,0.412,0.326,0.328,0.153,84.6,97.00660667,9,7.4,44.4,27.8
Hanser Alberto,LAD,593643,2022,159,73,0.216,0.304,0.234,0.231,0.088,82.9,93.79163516,10.8,1.5,42,19.8
Kurt Suzuki,LAA,435559,2022,159,51,0.191,0.281,0.255,0.276,0.09,85.2,95.15794143,24.1,3.5,45.1,21.2
Jake Meyers,HOU,676694,2022,160,52,0.205,0.292,0.251,0.254,0.086,87.3,98.54444,7.2,5.2,42.3,25.8
Mike Brosseau,MIL,670712,2022,160,69,0.213,0.359,0.3,0.307,0.146,89.1,98.50937489,14.6,8.6,35.5,22.6
